datetime;V;I;P;WH;F;PF;T;H;currprice
2022-08-25 16:14;234.4 V;4.091 A;746.5 W;174.0 Wh;50.0 Hz;0.78;30.2 低;52.9 %HR;--
2022-08-25 16:14;234.4 V;4.07 A;740.0 W;206.0 Wh;50.0 Hz;0.78;30.1 低;53.1 %HR;--
2022-08-25 16:14;234.1 V;4.123 A;752.5 W;218.0 Wh;49.9 Hz;0.78;30.1 低;52.6 %HR;--
2022-08-25 16:14;233.6 V;4.224 A;776.9 W;231.0 Wh;50.0 Hz;0.79;30.1 低;52.1 %HR;--
2022-08-25 16:14;234.3 V;4.125 A;752.3 W;243.0 Wh;50.0 Hz;0.78;30.1 低;51.9 %HR;--
2022-08-25 16:14;233.4 V;3.951 A;665.3 W;255.0 Wh;50.0 Hz;0.72;30.1 低;51.9 %HR;--
2022-08-25 16:14;233.7 V;3.915 A;657.2 W;266.0 Wh;50.0 Hz;0.72;30.2 低;51.9 %HR;--
2022-08-25 16:14;234.0 V;3.932 A;662.0 W;277.0 Wh;50.0 Hz;0.72;30.2 低;51.6 %HR;--
2022-08-25 16:14;233.8 V;3.801 A;626.6 W;288.0 Wh;50.0 Hz;0.71;30.2 低;51.7 %HR;--
2022-08-25 16:14;232.2 V;3.986 A;672.2 W;299.0 Wh;50.0 Hz;0.73;30.2 低;52.1 %HR;--
2022-08-25 16:14;232.6 V;3.952 A;661.7 W;310.0 Wh;50.0 Hz;0.72;30.1 低;52.0 %HR;--
2022-08-25 16:14;234.3 V;3.818 A;631.6 W;321.0 Wh;50.0 Hz;0.71;30.1 低;51.5 %HR;--
2022-08-25 16:46;234.7 V;4.125 A;753.6 W;501.0 Wh;49.9 Hz;0.78;30.0 低;51.0 %HR;--
2022-08-25 16:47;235.0 V;4.368 A;816.0 W;514.0 Wh;50.0 Hz;0.79;30.0 低;49.7 %HR;--
2022-08-25 16:48;234.9 V;4.416 A;828.4 W;527.0 Wh;50.0 Hz;0.8;30.0 低;50.5 %HR;--
2022-08-25 16:49;235.3 V;4.171 A;766.3 W;540.0 Wh;50.0 Hz;0.78;29.9 低;50.5 %HR;--
2022-08-25 16:50;234.8 V;4.17 A;764.5 W;553.0 Wh;49.9 Hz;0.78;30.0 低;50.7 %HR;--
2022-08-25 16:51;235.3 V;4.067 A;776.7 W;567.0 Wh;50.0 Hz;0.81;30.0 低;50.9 %HR;--
2022-08-25 16:52;234.6 V;4.198 A;826.9 W;581.0 Wh;49.9 Hz;0.84;30.0 低;50.2 %HR;--
2022-08-25 16:53;235.4 V;3.739 A;691.6 W;593.0 Wh;49.9 Hz;0.79;30.0 低;50.1 %HR;--
2022-08-25 16:54;233.0 V;3.826 A;713.9 W;604.0 Wh;49.9 Hz;0.8;30.0 低;49.9 %HR;--
2022-08-25 19:51;233.0 V;3.887 A;728.4 W;616.0 Wh;49.9 Hz;0.8;30.0 低;49.9 %HR;--
2022-08-25 19:53;231.3 V;9.296 A;2091.0 W;1122.0 Wh;50.0 Hz;0.97;30.1 低;54.2 %HR;0.62 ?
2022-08-25 19:54;230.5 V;9.305 A;2087.1 W;1165.0 Wh;50.0 Hz;0.97;30.2 低;54.4 %HR;--
2022-08-25 19:55;233.0 V;3.227 A;565.3 W;1201.0 Wh;50.0 Hz;0.75;30.2 低;54.8 %HR;--
2022-08-25 19:56;231.2 V;11.047 A;2504.5 W;1239.0 Wh;50.0 Hz;0.9799999;30.2 低;55.2 %HR;--
2022-08-25 19:57;230.0 V;11.244 A;2536.6 W;1272.0 Wh;50.0 Hz;0.9799999;30.2 低;55.6 %HR;--
2022-08-25 19:58;231.0 V;11.174 A;2532.2 W;1306.0 Wh;50.0 Hz;0.9799999;30.3 低;55.9 %HR;--
2022-08-25 19:59;230.6 V;11.217 A;2537.9 W;1339.0 Wh;50.0 Hz;0.9799999;30.3 低;56.2 %HR;--
2022-08-25 20:00;230.4 V;9.219001 A;2066.8 W;1372.0 Wh;50.0 Hz;0.97;30.4 低;56.8 %HR;--
2022-08-25 20:01;230.6 V;9.258 A;2077.0 W;28.0 Wh;49.9 Hz;0.97;30.4 低;57.5 %HR;--
2022-08-25 20:02;232.1 V;3.171 A;549.9 W;61.0 Wh;50.0 Hz;0.75;30.5 低;57.9 %HR;--
2022-08-25 20:03;232.9 V;3.17 A;554.7 W;96.0 Wh;49.9 Hz;0.75;30.5 低;57.8 %HR;--
2022-08-25 20:04;230.8 V;10.982 A;2486.0 W;127.0 Wh;49.9 Hz;0.9799999;30.6 低;58.8 %HR;--
2022-08-25 20:05;230.0 V;10.975 A;2476.9 W;156.0 Wh;49.9 Hz;0.9799999;30.7 低;58.6 %HR;--
2022-08-25 20:06;230.5 V;11.044 A;2497.1 W;183.0 Wh;50.0 Hz;0.9799999;30.7 低;59.4 %HR;--
2022-08-25 20:07;231.4 V;9.312 A;2098.0 W;214.0 Wh;50.0 Hz;0.97;30.8 低;60.0 %HR;--
2022-08-25 20:08;231.7 V;9.294001 A;2095.2 W;243.0 Wh;50.0 Hz;0.97;30.8 低;58.3 %HR;--
2022-08-25 20:09;232.7 V;3.197 A;561.4 W;273.0 Wh;50.0 Hz;0.75;30.9 低;60.3 %HR;--
2022-08-25 20:10;234.1 V;3.2 A;565.7 W;306.0 Wh;50.0 Hz;0.76;30.9 低;60.5 %HR;--
2022-08-25 20:11;231.7 V;11.004 A;2501.8 W;338.0 Wh;50.0 Hz;0.9799999;31.0 低;61.1 %HR;--
2022-08-25 20:12;233.1 V;6.273 A;1295.4 W;365.0 Wh;50.0 Hz;0.89;31.0 低;59.6 %HR;--
2022-08-25 20:13;234.0 V;4.074 A;782.1 W;396.0 Wh;50.0 Hz;0.82;31.0 低;60.5 %HR;--
2022-08-25 20:14;234.1 V;4.286 A;831.1 W;432.0 Wh;50.0 Hz;0.83;31.1 低;61.1 %HR;--
2022-08-25 20:15;231.3 V;12.819 A;2901.6 W;466.0 Wh;50.0 Hz;0.9799999;31.1 低;62.1 %HR;--
2022-08-25 20:16;232.4 V;12.87 A;2926.9 W;501.0 Wh;50.0 Hz;0.9799999;31.1 低;61.7 %HR;--
2022-08-25 20:17;232.7 V;9.106001 A;2049.0 W;537.0 Wh;50.0 Hz;0.97;31.1 低;57.5 %HR;--
2022-08-25 20:18;233.1 V;12.411 A;2841.7 W;577.0 Wh;50.0 Hz;0.9799999;31.1 低;59.9 %HR;--
2022-08-25 20:19;233.0 V;12.49 A;2858.8 W;621.0 Wh;49.9 Hz;0.9799999;31.2 低;60.8 %HR;--
2022-08-25 20:20;231.6 V;14.275 A;3261.7 W;666.0 Wh;49.9 Hz;0.99;31.3 低;55.7 %HR;--
2022-08-25 20:21;232.4 V;12.447 A;2842.8 W;716.0 Wh;50.0 Hz;0.9799999;31.2 低;55.7 %HR;--
2022-08-25 20:22;232.0 V;12.463 A;2841.5 W;769.0 Wh;50.0 Hz;0.9799999;31.2 低;57.9 %HR;--
2022-08-25 20:23;232.8 V;9.485001 A;2150.2 W;815.0 Wh;50.0 Hz;0.97;31.3 低;56.9 %HR;--
2022-08-25 20:24;232.4 V;11.275 A;2571.4 W;855.0 Wh;50.0 Hz;0.9799999;31.3 低;56.2 %HR;--
2022-08-25 20:25;232.7 V;11.315 A;2583.3 W;897.0 Wh;50.0 Hz;0.9799999;31.3 低;55.6 %HR;--
2022-08-25 20:26;233.1 V;11.323 A;2588.5 W;939.0 Wh;50.0 Hz;0.9799999;31.3 低;55.4 %HR;--
2022-08-25 20:27;233.3 V;11.489 A;2628.3 W;970.0 Wh;50.0 Hz;0.9799999;31.3 低;54.9 %HR;--
2022-08-25 20:28;233.9 V;9.606001 A;2186.5 W;1009.0 Wh;50.0 Hz;0.97;31.3 低;55.6 %HR;--
2022-08-25 20:29;234.0 V;9.581 A;2181.8 W;1054.0 Wh;50.0 Hz;0.97;31.3 低;55.7 %HR;--
